epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/anomaly,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012376237427815795,0.05128205195069313,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,100.0,26.112058639526367,0.12870725989341736,0.14894409477710724,0.1327681839466095,0.12221497297286987,0.15407894551753998,0.8939448595046997,0.9112354516983032,0.8927754163742065,0.8850427269935608,0.9193075895309448,0.3693965971469879,0.40923094749450684,0.3877105116844177,0.38150086998939514,0.4264281392097473,0.1130899041891098,0.12868298590183258,0.1291617751121521,0.1067616418004036,0.12543576955795288,0.3767407238483429,0.47653451561927795,0.4410021901130676,0.4254414141178131,0.5226791501045227,0.009900989942252636,0.0012376237427815795,0.0,0.008823529817163944,0.04545454680919647,0.05882352963089943,0.009900989942252636,0.0019801980815827847
0,31,0.515625,0.515625,0.515625,0.515625,0.515625,97.71634674072266,27.91143798828125,0.16593708097934723,0.22405552864074707,0.19138175249099731,0.18699008226394653,0.24642018973827362,0.7210622429847717,0.7049375772476196,0.6998648643493652,0.7015259861946106,0.6970825791358948,0.4844164252281189,0.5636334419250488,0.546154797077179,0.5131990909576416,0.6114253997802734,0.1023760735988617,0.09053357690572739,0.10781092196702957,0.09972924739122391,0.12251810729503632,0.42910876870155334,0.44167929887771606,0.4439905285835266,0.4230305850505829,0.5142989754676819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-06,9.999999747378752e-06,3.2325641541319783e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01922304928302765,0.08465608209371567,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,93.10344696044922,23.998695373535156,0.10818513482809067,0.1385565847158432,0.1306132674217224,0.12334343791007996,0.15112769603729248,0.9255908727645874,0.9345079660415649,0.8771378993988037,0.898007869720459,0.910176694393158,0.3463785648345947,0.3875080943107605,0.39890021085739136,0.3757357895374298,0.44398143887519836,0.11020302772521973,0.11499358713626862,0.10289913415908813,0.08760308474302292,0.1254335641860962,0.32471683621406555,0.40969786047935486,0.41075125336647034,0.3178800940513611,0.4536481201648712,0.048328179866075516,0.01922304928302765,0.02076614275574684,0.15882353484630585,0.05161290243268013,0.23529411852359772,0.029759643599390984,0.0165177620947361
1,63,0.515625,0.515625,0.515625,0.515625,0.515625,96.875,20.207870483398438,0.102818563580513,0.12350709736347198,0.1187795028090477,0.10318977385759354,0.1361980438232422,0.8785451650619507,0.8825808763504028,0.8494915962219238,0.8569994568824768,0.8780993223190308,0.2888511121273041,0.3335370719432831,0.3298112154006958,0.31212231516838074,0.3821546733379364,0.07716737687587738,0.08470190316438675,0.07372517138719559,0.07713861763477325,0.09648480266332626,0.267926961183548,0.3269229829311371,0.2921311855316162,0.2793934941291809,0.3537544310092926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014924412593245506,0.06060606241226196,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,93.10344696044922,22.825498580932617,0.09503952413797379,0.12291430681943893,0.11137230694293976,0.10635650902986526,0.1624930053949356,0.9742750525474548,0.9548289775848389,0.9264671802520752,0.9638047814369202,0.9403392672538757,0.2946558892726898,0.3536006808280945,0.3633657395839691,0.3070951998233795,0.4047674834728241,0.09142563492059708,0.10007629543542862,0.10794102400541306,0.08183901011943817,0.11447225511074066,0.27734413743019104,0.38701769709587097,0.401276558637619,0.33228132128715515,0.43191272020339966,0.03392590209841728,0.014924412593245506,0.012350237928330898,0.14411765336990356,0.03553299605846405,0.20588235557079315,0.020847786217927933,0.01252733450382948
2,95,0.515625,0.515625,0.515625,0.515625,0.515625,94.27083587646484,19.983915328979492,0.08821230381727219,0.10574936121702194,0.10452750325202942,0.09198054671287537,0.1192266121506691,1.0194363594055176,1.0335911512374878,1.0011048316955566,1.0189828872680664,1.0426366329193115,0.3006823658943176,0.34017276763916016,0.3314959704875946,0.30747079849243164,0.375730961561203,0.06546460837125778,0.0664399191737175,0.06407036632299423,0.06099068373441696,0.07343898713588715,0.2769487202167511,0.3105878233909607,0.2915310263633728,0.26514583826065063,0.3270973265171051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-06,9.999999747378752e-06,3.2325641541319783e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04136219993233681,0.03751803934574127,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,86.20689392089844,21.55154800415039,0.09323131293058395,0.11513873934745789,0.09207690507173538,0.08586381375789642,0.14104197919368744,1.0078634023666382,0.9840975999832153,0.9610946774482727,1.0246384143829346,1.006531000137329,0.2746371030807495,0.33737561106681824,0.3320194482803345,0.25359800457954407,0.3542095124721527,0.07277720421552658,0.0855361819267273,0.1039779782295227,0.09020985662937164,0.0938401147723198,0.29897594451904297,0.35464465618133545,0.37306666374206543,0.31607964634895325,0.3762677013874054,0.09686827659606934,0.04136219993233681,0.04720250517129898,0.26764705777168274,0.019726859405636787,0.38235294818878174,0.0471755713224411,0.02641560696065426
3,127,0.515625,0.515625,0.515625,0.515625,0.515625,93.369384765625,16.820531845092773,0.06819240748882294,0.08920945972204208,0.0797792598605156,0.07360081374645233,0.11645925790071487,1.0305991172790527,1.0006389617919922,1.0004549026489258,1.004819393157959,0.9989500045776367,0.20419080555438995,0.27011486887931824,0.2369306981563568,0.22662845253944397,0.3148012161254883,0.05422011390328407,0.05845421552658081,0.05603528767824173,0.05301090329885483,0.0638246089220047,0.21001866459846497,0.24259153008460999,0.21605786681175232,0.21375006437301636,0.26074308156967163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
