record_type,run,epoch,subset,sample_count,seen_sample_count,mean_loss,median_loss,mean_mask_iou,mean_matched_iou,mean_fn,mean_fp,mean_class_error,mean_gt_recall,mean_exposure_multiplier,mean_state_policy_weight,mean_applied_loss_weight_seen,mean_effective_contribution_seen,total_appearances,total_exposure_count,total_effective_contribution,cap_hit_count
checkpoint_trajectory,E0,14,REFERENCE_MASTERED,43,,0.00029522148779929117,0.00023190851788967848,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,0,REFERENCE_HARD,33,,417.52622107303506,411.3255920410156,0.02695143674359177,0.04661045110586918,0.9393939393939394,1.5151515151515151,0.06060606060606061,0.06060606060606061,,,,,,,,
checkpoint_trajectory,E3,1,REFERENCE_HARD,33,,356.3184426047585,349.1192321777344,0.028144099495627663,0.04825231703844937,0.9393939393939394,1.393939393939394,0.06060606060606061,0.06060606060606061,,,,,,,,
checkpoint_trajectory,E3,2,REFERENCE_HARD,33,,303.17084248860675,287.8018493652344,0.0297799932234215,0.048902728340842506,0.9393939393939394,1.0909090909090908,0.06060606060606061,0.06060606060606061,,,,,,,,
checkpoint_trajectory,E3,3,REFERENCE_HARD,33,,268.6014339562618,243.08363342285156,0.0,0.0,1.0,0.48484848484848486,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,4,REFERENCE_HARD,33,,241.8907909971295,210.88031005859375,0.0,0.0,1.0,0.7272727272727273,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,5,REFERENCE_HARD,33,,234.62267742734966,196.60646057128906,0.0,0.0,1.0,0.696969696969697,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,6,REFERENCE_HARD,33,,228.95956559614703,193.26119995117188,0.0,0.0,1.0,0.18181818181818182,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,7,REFERENCE_HARD,33,,216.6250957142223,178.29034423828125,0.0,0.0,1.0,0.2727272727272727,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,8,REFERENCE_HARD,33,,207.95478312174478,172.35736083984375,0.0,0.0,1.0,0.24242424242424243,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,9,REFERENCE_HARD,33,,205.6154988606771,171.98609924316406,0.0,0.0,1.0,0.15151515151515152,0.0,0.0,,,,,,,,
checkpoint_trajectory,E3,10,REFERENCE_HARD,33,,200.69712136008522,166.28518676757812,0.0,0.0,1.0,0.12121212121212122,0.0,0.0,,,,,,,,
