record_type,seed,run,metric,value,mean,std,delta_vs_e0
final_metric,20260810,E0,mask_mAP_50_95,0.1390378773212433,0.13474864264329275,0.006480204702895233,0.0
final_metric,20260810,E0,box_mAP_50_95,0.25418397784233093,0.2514669547478358,0.004485154779693782,0.0
final_metric,20260810,E0,F1,0.3921568691730499,0.3919217884540558,0.014447186415419876,0.0
final_metric,20260810,E3,mask_mAP_50_95,0.14790752530097961,0.13325427720944086,0.013100729137299592,0.008869647979736328
final_metric,20260810,E3,box_mAP_50_95,0.24475648999214172,0.24461074670155844,0.0014238085920418595,-0.009427487850189209
final_metric,20260810,E3,F1,0.36666667461395264,0.3892708420753479,0.02053617969282413,-0.02549019455909729
final_metric,20260810,E4,mask_mAP_50_95,0.10203877091407776,0.10118103275696437,0.005012475157299167,-0.03699910640716553
final_metric,20260810,E4,box_mAP_50_95,0.2719261646270752,0.25641481081644696,0.021027334244483196,0.017742186784744263
final_metric,20260810,E4,F1,0.32098764181137085,0.29932136336962384,0.018967482165933677,-0.07116922736167908
final_metric,20260810,E5,mask_mAP_50_95,0.10794487595558167,0.09950269758701324,0.007811564375296282,-0.03109300136566162
final_metric,20260810,E5,box_mAP_50_95,0.2335459291934967,0.23123282690842947,0.02901447967806269,-0.02063804864883423
final_metric,20260810,E5,F1,0.3235294222831726,0.30164557695388794,0.051865961161526634,-0.06862744688987732
final_metric,20260811,E0,mask_mAP_50_95,0.13791391253471375,0.13474864264329275,0.006480204702895233,0.0
final_metric,20260811,E0,box_mAP_50_95,0.2539268136024475,0.2514669547478358,0.004485154779693782,0.0
final_metric,20260811,E0,F1,0.37735849618911743,0.3919217884540558,0.014447186415419876,0.0
final_metric,20260811,E3,mask_mAP_50_95,0.12918201088905334,0.13325427720944086,0.013100729137299592,-0.0087319016456604
final_metric,20260811,E3,box_mAP_50_95,0.24595607817173004,0.24461074670155844,0.0014238085920418595,-0.007970735430717468
final_metric,20260811,E3,F1,0.4067796468734741,0.3892708420753479,0.02053617969282413,0.02942115068435669
final_metric,20260811,E4,mask_mAP_50_95,0.10570929199457169,0.10118103275696437,0.005012475157299167,-0.03220462054014206
final_metric,20260811,E4,box_mAP_50_95,0.2648361921310425,0.25641481081644696,0.021027334244483196,0.01090937852859497
final_metric,20260811,E4,F1,0.2857142984867096,0.29932136336962384,0.018967482165933677,-0.09164419770240784
final_metric,20260811,E5,mask_mAP_50_95,0.09253065288066864,0.09950269758701324,0.007811564375296282,-0.045383259654045105
final_metric,20260811,E5,box_mAP_50_95,0.259021520614624,0.23123282690842947,0.02901447967806269,0.005094707012176514
final_metric,20260811,E5,F1,0.33898305892944336,0.30164557695388794,0.051865961161526634,-0.03837543725967407
final_metric,20260812,E0,mask_mAP_50_95,0.1272941380739212,0.13474864264329275,0.006480204702895233,0.0
final_metric,20260812,E0,box_mAP_50_95,0.24629007279872894,0.2514669547478358,0.004485154779693782,0.0
final_metric,20260812,E0,F1,0.40625,0.3919217884540558,0.014447186415419876,0.0
final_metric,20260812,E3,mask_mAP_50_95,0.12267329543828964,0.13325427720944086,0.013100729137299592,-0.004620842635631561
final_metric,20260812,E3,box_mAP_50_95,0.24311967194080353,0.24461074670155844,0.0014238085920418595,-0.003170400857925415
final_metric,20260812,E3,F1,0.39436620473861694,0.3892708420753479,0.02053617969282413,-0.011883795261383057
final_metric,20260812,E4,mask_mAP_50_95,0.09579503536224365,0.10118103275696437,0.005012475157299167,-0.03149910271167755
final_metric,20260812,E4,box_mAP_50_95,0.23248207569122314,0.25641481081644696,0.021027334244483196,-0.013807997107505798
final_metric,20260812,E4,F1,0.291262149810791,0.29932136336962384,0.018967482165933677,-0.11498785018920898
final_metric,20260812,E5,mask_mAP_50_95,0.09803256392478943,0.09950269758701324,0.007811564375296282,-0.029261574149131775
final_metric,20260812,E5,box_mAP_50_95,0.20113103091716766,0.23123282690842947,0.02901447967806269,-0.04515904188156128
final_metric,20260812,E5,F1,0.24242424964904785,0.30164557695388794,0.051865961161526634,-0.16382575035095215
paired_hard_recovery_delta,20260810,E3,loss_decrease_rate,0.0,0.0,0.0,0.0
paired_hard_recovery_delta,20260811,E3,loss_decrease_rate,0.0,0.0,0.0,0.0
paired_hard_recovery_delta,20260812,E3,loss_decrease_rate,0.0,0.0,0.0,0.0
paired_hard_recovery_delta,20260810,E3,mask_iou_increase_rate,0.12121212121212122,-3.700743415417188e-17,0.10925912955951485,0.12121212121212122
paired_hard_recovery_delta,20260811,E3,mask_iou_increase_rate,-0.030303030303030387,-3.700743415417188e-17,0.10925912955951485,-0.030303030303030387
paired_hard_recovery_delta,20260812,E3,mask_iou_increase_rate,-0.09090909090909094,-3.700743415417188e-17,0.10925912955951485,-0.09090909090909094
paired_hard_recovery_delta,20260810,E3,loss_decrease_and_mask_non_decrease_rate,0.030303030303030276,0.030303030303030276,0.0,0.030303030303030276
paired_hard_recovery_delta,20260811,E3,loss_decrease_and_mask_non_decrease_rate,0.030303030303030276,0.030303030303030276,0.0,0.030303030303030276
paired_hard_recovery_delta,20260812,E3,loss_decrease_and_mask_non_decrease_rate,0.030303030303030276,0.030303030303030276,0.0,0.030303030303030276
paired_hard_recovery_delta,20260810,E3,mean_loss_improvement,12.80162834398675,0.6615977431788641,11.903400137068875,12.80162834398675
paired_hard_recovery_delta,20260811,E3,mean_loss_improvement,-10.990144671815813,0.6615977431788641,11.903400137068875,-10.990144671815813
paired_hard_recovery_delta,20260812,E3,mean_loss_improvement,0.17330955736565556,0.6615977431788641,11.903400137068875,0.17330955736565556
paired_hard_recovery_delta,20260810,E3,mean_mask_iou_improvement,0.08442803133617749,0.010619971788290772,0.0652461613382288,0.08442803133617749
paired_hard_recovery_delta,20260811,E3,mean_mask_iou_improvement,-0.013194393027912477,0.010619971788290772,0.0652461613382288,-0.013194393027912477
paired_hard_recovery_delta,20260812,E3,mean_mask_iou_improvement,-0.0393737229433927,0.010619971788290772,0.0652461613382288,-0.0393737229433927
resource_ratio,20260810,E3,hard_to_mastered_appearance_ratio,1.0,1.0,0.0,
resource_ratio,20260811,E3,hard_to_mastered_appearance_ratio,1.0,1.0,0.0,
resource_ratio,20260812,E3,hard_to_mastered_appearance_ratio,1.0,1.0,0.0,
resource_ratio,20260810,E3,hard_to_mastered_applied_weight_ratio,1.2097691098900465,1.2073934847320134,0.00432239672835985,
resource_ratio,20260811,E3,hard_to_mastered_applied_weight_ratio,1.21000704260439,1.2073934847320134,0.00432239672835985,
resource_ratio,20260812,E3,hard_to_mastered_applied_weight_ratio,1.2024043017016035,1.2073934847320134,0.00432239672835985,
resource_ratio,20260810,E3,hard_to_mastered_effective_contribution_ratio,1.2097691098900463,1.2073934847320134,0.004322396728359661,
resource_ratio,20260811,E3,hard_to_mastered_effective_contribution_ratio,1.21000704260439,1.2073934847320134,0.004322396728359661,
resource_ratio,20260812,E3,hard_to_mastered_effective_contribution_ratio,1.2024043017016037,1.2073934847320134,0.004322396728359661,
paired_hard_recovery_delta,20260810,E4,loss_decrease_rate,0.0,0.0,0.0,0.0
paired_hard_recovery_delta,20260811,E4,loss_decrease_rate,0.0,0.0,0.0,0.0
paired_hard_recovery_delta,20260812,E4,loss_decrease_rate,0.0,0.0,0.0,0.0
paired_hard_recovery_delta,20260810,E4,mask_iou_increase_rate,0.303030303030303,0.06060606060606059,0.21851825911902964,0.303030303030303
paired_hard_recovery_delta,20260811,E4,mask_iou_increase_rate,-0.12121212121212122,0.06060606060606059,0.21851825911902964,-0.12121212121212122
paired_hard_recovery_delta,20260812,E4,mask_iou_increase_rate,0.0,0.06060606060606059,0.21851825911902964,0.0
paired_hard_recovery_delta,20260810,E4,loss_decrease_and_mask_non_decrease_rate,0.030303030303030276,0.030303030303030276,0.0,0.030303030303030276
paired_hard_recovery_delta,20260811,E4,loss_decrease_and_mask_non_decrease_rate,0.030303030303030276,0.030303030303030276,0.0,0.030303030303030276
paired_hard_recovery_delta,20260812,E4,loss_decrease_and_mask_non_decrease_rate,0.030303030303030276,0.030303030303030276,0.0,0.030303030303030276
paired_hard_recovery_delta,20260810,E4,mean_loss_improvement,22.983294400301844,20.313128615870625,23.252841544080464,22.983294400301844
paired_hard_recovery_delta,20260811,E4,mean_loss_improvement,-4.159527634129375,20.313128615870625,23.252841544080464,-4.159527634129375
paired_hard_recovery_delta,20260812,E4,mean_loss_improvement,42.115619081439405,20.313128615870625,23.252841544080464,42.115619081439405
paired_hard_recovery_delta,20260810,E4,mean_mask_iou_improvement,0.2375779847304026,0.06346935214418352,0.1586780729418153,0.2375779847304026
paired_hard_recovery_delta,20260811,E4,mean_mask_iou_improvement,-0.07301540898554248,0.06346935214418352,0.1586780729418153,-0.07301540898554248
paired_hard_recovery_delta,20260812,E4,mean_mask_iou_improvement,0.025845480687690436,0.06346935214418352,0.1586780729418153,0.025845480687690436
resource_ratio,20260810,E4,hard_to_mastered_appearance_ratio,1.79711614284105,1.7385097826930864,0.06047864639764065,
resource_ratio,20260811,E4,hard_to_mastered_appearance_ratio,1.6763183435781301,1.7385097826930864,0.06047864639764065,
resource_ratio,20260812,E4,hard_to_mastered_appearance_ratio,1.742094861660079,1.7385097826930864,0.06047864639764065,
paired_hard_recovery_delta,20260810,E5,loss_decrease_rate,0.0,0.0,0.0,0.0
paired_hard_recovery_delta,20260811,E5,loss_decrease_rate,0.0,0.0,0.0,0.0
paired_hard_recovery_delta,20260812,E5,loss_decrease_rate,0.0,0.0,0.0,0.0
paired_hard_recovery_delta,20260810,E5,mask_iou_increase_rate,0.18181818181818177,-0.01010101010101013,0.1971638514741731,0.18181818181818177
paired_hard_recovery_delta,20260811,E5,mask_iou_increase_rate,-0.21212121212121215,-0.01010101010101013,0.1971638514741731,-0.21212121212121215
paired_hard_recovery_delta,20260812,E5,mask_iou_increase_rate,0.0,-0.01010101010101013,0.1971638514741731,0.0
paired_hard_recovery_delta,20260810,E5,loss_decrease_and_mask_non_decrease_rate,0.030303030303030276,0.030303030303030276,0.0,0.030303030303030276
paired_hard_recovery_delta,20260811,E5,loss_decrease_and_mask_non_decrease_rate,0.030303030303030276,0.030303030303030276,0.0,0.030303030303030276
paired_hard_recovery_delta,20260812,E5,loss_decrease_and_mask_non_decrease_rate,0.030303030303030276,0.030303030303030276,0.0,0.030303030303030276
paired_hard_recovery_delta,20260810,E5,mean_loss_improvement,34.27170007879084,28.731200170035322,11.312643210250084,34.27170007879084
