run,epoch,subset,sample_count,seen_sample_count,mean_loss,median_loss,mean_mask_iou,mean_matched_iou,mean_fn,mean_fp,mean_class_error,mean_gt_recall,mean_exposure_multiplier,mean_state_policy_weight,mean_applied_loss_weight_seen,mean_effective_contribution_seen,total_appearances,total_exposure_count,total_effective_contribution,cap_hit_count
E0,0,REFERENCE_HARD,33,,404.0961183490175,414.70770263671875,0.02748054988456495,0.04607791069782141,0.9393939393939394,1.4545454545454546,0.06060606060606061,0.06060606060606061,,,,,,,,
E0,1,REFERENCE_HARD,33,,363.28362343528056,363.27752685546875,0.02924030025800069,0.04887137629769065,0.9393939393939394,1.5151515151515151,0.06060606060606061,0.06060606060606061,,,,,,,,
E0,2,REFERENCE_HARD,33,,316.25376383463544,288.712646484375,0.01095895062793385,0.021298493399764553,0.9696969696969697,1.3636363636363635,0.030303030303030304,0.030303030303030304,,,,,,,,
E0,3,REFERENCE_HARD,33,,275.7204071969697,235.82565307617188,0.0,0.0,1.0,1.0606060606060606,0.0,0.0,,,,,,,,
E0,4,REFERENCE_HARD,33,,246.43803174567944,217.75241088867188,0.0,0.0,1.0,0.9696969696969697,0.0,0.0,,,,,,,,
E0,5,REFERENCE_HARD,33,,228.96912037242544,195.30990600585938,0.0,0.0,1.0,0.9393939393939394,0.0,0.0,,,,,,,,
E0,6,REFERENCE_HARD,33,,222.09395437529594,189.9670867919922,0.0,0.0,1.0,0.3939393939393939,0.0,0.0,,,,,,,,
E0,7,REFERENCE_HARD,33,,211.91649974476206,178.4407958984375,0.0,0.0,1.0,0.42424242424242425,0.0,0.0,,,,,,,,
E0,8,REFERENCE_HARD,33,,205.9374445134943,170.51458740234375,0.0,0.0,1.0,0.45454545454545453,0.0,0.0,,,,,,,,
E0,9,REFERENCE_HARD,33,,200.51035933061078,165.11512756347656,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,,,,,,,,
E0,10,REFERENCE_HARD,33,,196.09371532093394,171.2173309326172,0.0,0.0,1.0,0.09090909090909091,0.0,0.0,,,,,,,,
E0,11,REFERENCE_HARD,33,,195.68320765639797,173.76498413085938,0.043896434885082825,0.05843420100934578,0.9393939393939394,0.18181818181818182,0.0,0.06060606060606061,,,,,,,,
E0,12,REFERENCE_HARD,33,,191.01088298450816,160.95596313476562,0.11362459262212117,0.1452675841071389,0.8484848484848485,0.15151515151515152,0.0,0.15151515151515152,,,,,,,,
E0,13,REFERENCE_HARD,33,,186.19265307802144,158.73297119140625,0.3773629665374756,0.45307764501282666,0.5151515151515151,0.21212121212121213,0.0,0.48484848484848486,,,,,,,,
E0,14,REFERENCE_HARD,33,,191.01088298450816,160.95596313476562,0.11362459262212117,0.1452675841071389,0.8484848484848485,0.15151515151515152,0.0,0.15151515151515152,,,,,,,,
E5,0,REFERENCE_HARD,33,,420.4100115226977,417.2666015625,0.017852288303953228,0.026708846742456608,0.9696969696969697,1.5454545454545454,0.030303030303030304,0.030303030303030304,,,,,,,,
E5,1,REFERENCE_HARD,33,,335.9841280850497,314.7588806152344,0.0,0.0,1.0,1.0909090909090908,0.0,0.0,,,,,,,,
E5,2,REFERENCE_HARD,33,,283.5141374992602,262.63555908203125,0.0,0.0,1.0,0.9696969696969697,0.0,0.0,,,,,,,,
E5,3,REFERENCE_HARD,33,,252.71664798620975,219.45941162109375,0.0,0.0,1.0,0.9090909090909091,0.0,0.0,,,,,,,,
E5,4,REFERENCE_HARD,33,,225.79932889071378,206.1275177001953,0.015193897666353168,0.018192554965163723,0.9696969696969697,0.7272727272727273,0.030303030303030304,0.030303030303030304,,,,,,,,
E5,5,REFERENCE_HARD,33,,212.62729945327297,181.80406188964844,0.037624507239370636,0.04221601739074245,0.9393939393939394,0.9090909090909091,0.06060606060606061,0.06060606060606061,,,,,,,,
E5,6,REFERENCE_HARD,33,,199.67670856822622,183.00462341308594,0.014930350310874708,0.018340815197337757,0.9696969696969697,0.48484848484848486,0.030303030303030304,0.030303030303030304,,,,,,,,
E5,7,REFERENCE_HARD,33,,194.91941209272906,167.28817749023438,0.015475686752434933,0.01858236031098799,0.9696969696969697,0.2727272727272727,0.030303030303030304,0.030303030303030304,,,,,,,,
E5,8,REFERENCE_HARD,33,,186.80170394435072,169.6995391845703,0.0,0.0,1.0,0.15151515151515152,0.0,0.0,,,,,,,,
E5,9,REFERENCE_HARD,33,,180.22779268206972,160.7100067138672,0.0,0.0,1.0,0.15151515151515152,0.0,0.0,,,,,,,,
E5,10,REFERENCE_HARD,33,,175.64968710234672,158.51681518554688,0.0,0.0,1.0,0.42424242424242425,0.0,0.0,,,,,,,,
E5,11,REFERENCE_HARD,33,,173.6262354995265,160.8658447265625,0.13253393498334018,0.17503146872375952,0.8181818181818182,0.21212121212121213,0.0,0.18181818181818182,,,,,,,,
E5,12,REFERENCE_HARD,33,,171.43739226370147,154.30332946777344,0.24614890597083353,0.3190867846662348,0.6666666666666666,0.24242424242424243,0.0,0.3333333333333333,,,,,,,,
E5,13,REFERENCE_HARD,33,,168.23484617291075,153.735107421875,0.5094894532001379,0.6211135206800519,0.3333333333333333,0.5454545454545454,0.0,0.6666666666666666,,,,,,,,
E5,14,REFERENCE_HARD,33,,163.49482449618253,150.18218994140625,0.5858768251809207,0.7032775535727992,0.24242424242424243,1.3636363636363635,0.0,0.7575757575757576,,,,,,,,
E0,0,REFERENCE_MASTERED,43,,0.014013263302162116,0.00539363780990243,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
