epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/anomaly,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007708639372140169,0.07017543911933899,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,86.20689392089844,26.67353057861328,0.1361449956893921,0.17699716985225677,0.14900365471839905,0.14723604917526245,0.18860112130641937,0.9071221947669983,0.8508412837982178,0.8566250205039978,0.8640376329421997,0.8540186882019043,0.346808522939682,0.45859527587890625,0.42394742369651794,0.39453890919685364,0.48521748185157776,0.11257464438676834,0.1189505010843277,0.14007702469825745,0.09454378485679626,0.1302933394908905,0.35864683985710144,0.4697626233100891,0.4629305601119995,0.4359237551689148,0.5028485655784607,0.020298941060900688,0.007708639372140169,0.00622347928583622,0.06470588594675064,0.05000000074505806,0.11764705926179886,0.013876677490770817,0.006282350048422813
0,31,0.5390625,0.5390625,0.5390625,0.5390625,0.5390625,98.19711303710938,25.912595748901367,0.14932294189929962,0.20877359807491302,0.17253552377223969,0.16055983304977417,0.219295933842659,0.7957383394241333,0.7413778901100159,0.7704159617424011,0.7837196588516235,0.7504284381866455,0.4184897243976593,0.5243983864784241,0.46814119815826416,0.43521809577941895,0.5421044230461121,0.09841445833444595,0.09888818114995956,0.09957877546548843,0.09683045744895935,0.12005504220724106,0.38978034257888794,0.41109803318977356,0.395325630903244,0.387881875038147,0.4505017399787903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-06,9.999999747378752e-06,3.2325641541319783e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012643646448850632,0.07486630976200104,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,86.20689392089844,24.059301376342773,0.0880470871925354,0.14369380474090576,0.1392817348241806,0.11374154686927795,0.15596036612987518,0.9830120205879211,0.870028555393219,0.9101287722587585,0.9359556436538696,0.9276712536811829,0.2920548617839813,0.4422045052051544,0.37349358201026917,0.32684653997421265,0.40753620862960815,0.11540120095014572,0.1117597296833992,0.11685625463724136,0.08366461098194122,0.10351970791816711,0.37542399764060974,0.4643493890762329,0.38861581683158875,0.31797048449516296,0.43136119842529297,0.024569854140281677,0.012643646448850632,0.009804879315197468,0.13235294818878174,0.04575163498520851,0.20588235557079315,0.019842879846692085,0.011176657862961292
1,63,0.65625,0.6484375,0.65625,0.65625,0.65625,95.09214782714844,22.850454330444336,0.11372123658657074,0.15281014144420624,0.13255566358566284,0.12552176415920258,0.180549755692482,0.8794956803321838,0.8657107949256897,0.8477120995521545,0.8630256056785583,0.8595978021621704,0.3355731666088104,0.41235682368278503,0.38650792837142944,0.35565274953842163,0.45518022775650024,0.08171351253986359,0.08819696307182312,0.08741073310375214,0.0828460082411766,0.10018303245306015,0.3307384252548218,0.36157163977622986,0.35392776131629944,0.336293488740921,0.4008345603942871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018105683848261833,0.05857740715146065,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,86.20689392089844,23.20760154724121,0.12044305354356766,0.139211967587471,0.1400030553340912,0.11327572166919708,0.16048814356327057,0.919137179851532,0.9020786285400391,0.8805050253868103,0.9332472085952759,0.9025772213935852,0.3529106080532074,0.4062372148036957,0.40533551573753357,0.3292035460472107,0.4412717819213867,0.08385036140680313,0.10189702361822128,0.0986708551645279,0.09210333973169327,0.10008913278579712,0.3118438124656677,0.39910414814949036,0.35640719532966614,0.3075771629810333,0.4350631535053253,0.03346053138375282,0.018105683848261833,0.01883634179830551,0.15294118225574493,0.03414634242653847,0.20588235557079315,0.024117132648825645,0.016774289309978485
2,95,0.5546875,0.5546875,0.5546875,0.5546875,0.5546875,95.23237609863281,23.12545394897461,0.10092705488204956,0.13942623138427734,0.1199503093957901,0.11298894137144089,0.17303122580051422,0.9264965653419495,0.9076553583145142,0.9001480937004089,0.9064339995384216,0.9117536544799805,0.326728492975235,0.4003660976886749,0.3775120675563812,0.3505328595638275,0.43471062183380127,0.07469804584980011,0.08129341155290604,0.08545958995819092,0.07410569489002228,0.10215519368648529,0.33743515610694885,0.3920852839946747,0.382811576128006,0.35693278908729553,0.42535245418548584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-06,9.999999747378752e-06,3.2325641541319783e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02287949249148369,0.0441988967359066,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,86.20689392089844,21.94816780090332,0.09822708368301392,0.10827034711837769,0.11726861447095871,0.09330367296934128,0.1496240496635437,0.9877991676330566,0.9863132238388062,0.934081494808197,0.9564626812934875,0.8886532187461853,0.28970327973365784,0.3372422456741333,0.3537437319755554,0.3170740604400635,0.4785039722919464,0.09584984928369522,0.09574691951274872,0.09911937266588211,0.09729461371898651,0.1004103273153305,0.3052685558795929,0.35290881991386414,0.3192710280418396,0.28632062673568726,0.4095803499221802,0.04527781531214714,0.02287949249148369,0.021000351756811142,0.17058824002742767,0.024390242993831635,0.23529411852359772,0.03219195827841759,0.019165705889463425
3,127,0.6015625,0.6015625,0.6015625,0.6015625,0.6015625,95.99359130859375,19.155105590820312,0.07612783461809158,0.11863551288843155,0.1049136221408844,0.08338432013988495,0.14383848011493683,0.9382253885269165,0.9083206653594971,0.8844366073608398,0.9168245792388916,0.8712300658226013,0.2519385814666748,0.3216816484928131,0.3177996277809143,0.2704738974571228,0.3911116123199463,0.06910903006792068,0.06867754459381104,0.07048694789409637,0.06768026947975159,0.08035770058631897,0.25340333580970764,0.2925164997577667,0.2777875065803528,0.2696325182914734,0.3294600546360016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
