epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_2,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_0,train/loss_bbox_1,train/loss_bbox_2,train/loss_bbox_enc,train/loss_ce,train/loss_ce_0,train/loss_ce_1,train/loss_ce_2,train/loss_ce_enc,train/loss_giou,train/loss_giou_0,train/loss_giou_1,train/loss_giou_2,train/loss_giou_enc,train/loss_mask_ce,train/loss_mask_ce_0,train/loss_mask_ce_1,train/loss_mask_ce_2,train/loss_mask_ce_enc,train/loss_mask_dice,train/loss_mask_dice_0,train/loss_mask_dice_1,train/loss_mask_dice_2,train/loss_mask_dice_enc,train/lr,train/lr_max,train/lr_min,val/AP/anomaly,val/F1,val/cardinality_error,val/cardinality_error_0,val/cardinality_error_1,val/cardinality_error_2,val/cardinality_error_enc,val/class_error,val/loss,val/loss_bbox,val/loss_bbox_0,val/loss_bbox_1,val/loss_bbox_2,val/loss_bbox_enc,val/loss_ce,val/loss_ce_0,val/loss_ce_1,val/loss_ce_2,val/loss_ce_enc,val/loss_giou,val/loss_giou_0,val/loss_giou_1,val/loss_giou_2,val/loss_giou_enc,val/loss_mask_ce,val/loss_mask_ce_0,val/loss_mask_ce_1,val/loss_mask_ce_2,val/loss_mask_ce_enc,val/loss_mask_dice,val/loss_mask_dice_0,val/loss_mask_dice_1,val/loss_mask_dice_2,val/loss_mask_dice_enc,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall,val/segm_mAP_50,val/segm_mAP_50_95
0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003490098984912038,0.048192769289016724,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,100.0,26.1562442779541,0.11648507416248322,0.14430691301822662,0.1268516480922699,0.12788929045200348,0.1658199578523636,0.8968701362609863,0.90931236743927,0.8954266309738159,0.8629791140556335,0.9073053002357483,0.3700600564479828,0.40347662568092346,0.37784937024116516,0.39331895112991333,0.43508145213127136,0.12589600682258606,0.12717680633068085,0.14068703353405,0.10229576379060745,0.1371460258960724,0.37818285822868347,0.4670502245426178,0.44402092695236206,0.42065465450286865,0.5204919576644897,0.017450494691729546,0.003490098984912038,0.0,0.01764705963432789,0.040816325694322586,0.05882352963089943,0.011881188489496708,0.002376237651333213
0,31,0.515625,0.515625,0.515625,0.515625,0.515625,100.0,27.722705841064453,0.16807103157043457,0.2254122793674469,0.1938166618347168,0.18515512347221375,0.24622882902622223,0.7076045870780945,0.705857515335083,0.7002992630004883,0.7015190720558167,0.7010812759399414,0.4987722337245941,0.5572866201400757,0.544849157333374,0.5154337286949158,0.6003201603889465,0.09696631878614426,0.09316496551036835,0.10303725302219391,0.09233400970697403,0.11745131760835648,0.4294218122959137,0.44469448924064636,0.43168991804122925,0.41714194416999817,0.5100185871124268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-06,9.999999747378752e-06,3.2325641541319783e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02491266280412674,0.08071748912334442,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,100.0,24.247217178344727,0.13046814501285553,0.1496916115283966,0.13213327527046204,0.1286049485206604,0.17012625932693481,0.9203501343727112,0.9046058654785156,0.8943575620651245,0.9021371603012085,0.9009711742401123,0.3402298092842102,0.4062274992465973,0.3836095631122589,0.35857832431793213,0.4351406693458557,0.09682275354862213,0.08767013996839523,0.11615477502346039,0.0853230431675911,0.14058445394039154,0.355596125125885,0.3898853361606598,0.4164689779281616,0.33538487553596497,0.44053083658218384,0.058400534093379974,0.02491266280412674,0.02671070396900177,0.17941176891326904,0.0476190485060215,0.2647058963775635,0.03766661882400513,0.019286520779132843
1,63,0.515625,0.515625,0.515625,0.515625,0.515625,97.75641632080078,19.159931182861328,0.09389656782150269,0.10975160449743271,0.10057520121335983,0.10062795877456665,0.1268213540315628,0.8569144010543823,0.8627569675445557,0.8439741730690002,0.8301774859428406,0.8596434593200684,0.28217270970344543,0.3148266673088074,0.3103085160255432,0.3060345947742462,0.369966596364975,0.07447896897792816,0.07343336194753647,0.07147275656461716,0.07256118953227997,0.09539023041725159,0.2599319517612457,0.29224175214767456,0.27381789684295654,0.2667716145515442,0.3361968398094177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0450817234814167,0.07746478915214539,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,100.0,22.947128295898438,0.09435193985700607,0.11394986510276794,0.10958551615476608,0.09814111143350601,0.1443362832069397,0.9662812352180481,0.9512812495231628,0.9501416683197021,0.9583127498626709,0.9680303335189819,0.30873367190361023,0.3688236474990845,0.3314363658428192,0.3102564513683319,0.3935490548610687,0.09202916920185089,0.10222426056861877,0.10428741574287415,0.11173709481954575,0.0905967503786087,0.3257012665271759,0.3868957757949829,0.39892834424972534,0.37067943811416626,0.40205246210098267,0.09165068715810776,0.0450817234814167,0.04906664043664932,0.23235294222831726,0.04399999976158142,0.3235294222831726,0.06472154706716537,0.03602472320199013
2,95,0.515625,0.515625,0.515625,0.515625,0.515625,95.71314239501953,18.888099670410156,0.08107361197471619,0.09681759029626846,0.09127645939588547,0.08279846608638763,0.11280138045549393,0.9684194326400757,0.987762451171875,0.9629255533218384,0.9766818284988403,1.0065300464630127,0.29320722818374634,0.32344067096710205,0.30961352586746216,0.28409236669540405,0.3530246317386627,0.06451738625764847,0.06545901298522949,0.05929259955883026,0.05834992974996567,0.07246066629886627,0.26728731393814087,0.2873433828353882,0.26975736021995544,0.24614329636096954,0.3164263963699341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.999999747378752e-06,9.999999747378752e-06,3.2325641541319783e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050800975412130356,0.035961274057626724,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,0.5862069129943848,93.10344696044922,21.59391975402832,0.09808773547410965,0.14294637739658356,0.1381940245628357,0.09675479680299759,0.12666381895542145,1.0238631963729858,0.9754822850227356,1.0027263164520264,0.9944976568222046,1.029848575592041,0.2678315341472626,0.34410837292671204,0.283189594745636,0.2853269875049591,0.338344931602478,0.06704244762659073,0.07454077154397964,0.090653195977211,0.1043524295091629,0.1054692193865776,0.3054284155368805,0.33091071248054504,0.31895309686660767,0.3233247995376587,0.3826580345630646,0.11598768085241318,0.050800975412130356,0.06077030673623085,0.25,0.01886792480945587,0.38235294818878174,0.07719751447439194,0.04167158529162407
3,127,0.515625,0.515625,0.515625,0.515625,0.515625,93.60977172851562,15.664435386657715,0.06476208567619324,0.08880356699228287,0.08119132369756699,0.07224778085947037,0.10534451901912689,0.9697997570037842,0.9491316080093384,0.9368512034416199,0.9494494795799255,0.9660253524780273,0.19053997099399567,0.24602532386779785,0.22687986493110657,0.2064860463142395,0.2753663957118988,0.04957805946469307,0.053955718874931335,0.04919840395450592,0.04757777601480484,0.06252582371234894,0.18927359580993652,0.2226623296737671,0.19826991856098175,0.19266219437122345,0.24246320128440857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
